"PSY_ITEM_ID","PSY_ITEM_VER","SUB_PSY_ITEM_ID","QUESTION_NO","CHOICE_NO","CHOICE_DIRECTION","CHOICE_SCORE","IMG_FILE_PATH","IMG_FILE_NM","MEDIA_FILE_PATH","MEDIA_FILE_NM"
PEER_RELATIONSHIP,V1.0,"20202031",40,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",40,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",40,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",40,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",40,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",41,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",41,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",41,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",41,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",41,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",42,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",42,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",42,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",42,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",42,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",43,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",43,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",43,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",43,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",43,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",44,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",44,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",44,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",44,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",44,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",45,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",45,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",45,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",45,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",45,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",46,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",46,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",46,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",46,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",46,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",47,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",47,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",47,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",47,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",47,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",48,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",48,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",48,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",48,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",48,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",49,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",49,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",49,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",49,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",49,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",50,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",50,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",50,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",50,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",50,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",51,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",51,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",51,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",51,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",51,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",52,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",52,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",52,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",52,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",52,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",53,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",53,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",53,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",53,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",53,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",54,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",54,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",54,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",54,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",54,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",55,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",55,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",55,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",55,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",55,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",56,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",56,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",56,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",56,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",56,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",57,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",57,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",57,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",57,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",57,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",58,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",58,2,별로 그렇지 않다.,2,"",,"",
