"PSY_CODE","CLASS_CODE","PSY_ORD_TARGET","PSY_ORD_NO","PSY_NAME","PSY_URL","START_DATE","END_DATE","ORIGINAL_END_DATE","LONGITUDINAL_YN","CLOSE_YN","USE_YN","USE_CNT","USE_DATE","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
P20250715C3DA,M100000412025505250C,,P250715151810abb3366,"25년 7월 1회차",P20250715C3DA-M100000412025505250C,"20250715","20250815",,Y,Y,,0,,,M10000041,"2025-07-15 16:49:44",,
P20250715CB88,M1000000320255021238,,P250707105818db73bdd,"25년 7월 1회차",P20250715CB88-M1000000320255021238,"20250715","20250718",,Y,N,,0,,,M10000003,"2025-07-15 10:25:44",,
P2025071602B0,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 7회차",P2025071602B0-AC0001202530101AF,"20250716","20250731",,Y,N,,0,,,M10000001,"2025-07-16 15:43:05",,
P20250716252E,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 6회차",P20250716252E-AC0001202530101AF,"20250715","20250718",,Y,N,,0,,,M10000001,"2025-07-16 15:40:53",,
P20250716280A,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 5회차",P20250716280A-M1000000120253017C9D,"20250715","20250718",,Y,Y,,0,,,M10000001,"2025-07-16 10:31:43",,
P20250716423A,M1000007220254035C68,,P2507160019222eeb94f,"25년 7월 1회차",P20250716423A-M1000007220254035C68,"20250716","20250815",,Y,Y,,0,,,M10000072,"2025-07-16 09:26:44",,
P20250716452C,AC00022025301E0AC,,P250715165918848048e,"25년 7월 3회차",P20250716452C-AC00022025301E0AC,"20250701","20250716",,Y,N,,0,,,M10000041,"2025-07-16 14:51:55",,
P202507166826,M1000007020254026414,,P250716001506d9151c6,"25년 7월 1회차",P202507166826-M1000007020254026414,"20250601","20250701",,Y,N,,0,,,M10000070,"2025-07-16 09:27:40",,
P202507166DAA,M100000692025301F737,,P250716000639e95782b,"25년 7월 1회차",P202507166DAA-M100000692025301F737,"20250716","20250718",,Y,N,,0,,,M10000069,"2025-07-16 09:15:07",,
P20250716701E,AC00022025301E0AC,,P250715165918848048e,"25년 7월 4회차",P20250716701E-AC00022025301E0AC,"20250616","20250701","20250624",Y,N,,0,,,M10000041,"2025-07-16 15:34:42",,
P202507169BCD,M100000732025501D3CA,,P250716004407ca94033,"25년 7월 1회차",P202507169BCD-M100000732025501D3CA,"20250716","20250718",,Y,Y,,0,,,M10000073,"2025-07-16 11:42:31",,
P20250716BB5E,M100000682025602CF1C,,P250716000635f1221b6,"25년 7월 1회차",P20250716BB5E-M100000682025602CF1C,"20250716","20250718",,Y,Y,,0,,,M10000068,"2025-07-16 09:18:26",,
P20250716BE86,AC000120256042D2E,,P2507160157311002cef,"25년 7월 1회차",P20250716BE86-AC000120256042D2E,"20250716","20250731",,Y,Y,,0,,,M10000001,"2025-07-16 11:00:35",,
P20250716CD70,AC000120256016589,,P250708043436e55f5e5,"25년 7월 5회차",P20250716CD70-AC000120256016589,"20250716","20250730",,Y,N,,0,,,M10000001,"2025-07-16 15:46:29",,
